央视高清,#genre#
CCTV-17农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村,http://39.134.24.24/PLTV/88888888/224/3221225859/index.m3u8
CCTV-17农业农村,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8


央视,#genre#
CCTV1,http://39.134.24.24/PLTV/88888888/224/3221225652/index.m3u8
CCTV1,http://39.134.24.24/PLTV/88888888/224/3221226024/index.m3u8
CCTV2,http://39.134.24.24/PLTV/88888888/224/3221225686/index.m3u8
CCTV3,http://39.134.24.24/PLTV/88888888/224/3221225630/index.m3u8
CCTV4,http://39.134.24.24/PLTV/88888888/224/3221225662/index.m3u8
CCTV5,http://39.134.24.24/PLTV/88888888/224/3221225758/index.m3u8
CCTV6,http://39.134.24.24/PLTV/88888888/224/3221225708/index.m3u8
CCTV7,http://39.134.24.24/PLTV/88888888/224/3221225768/index.m3u8
CCTV8,http://39.134.24.24/PLTV/88888888/224/3221225666/index.m3u8
CCTV9,http://39.134.24.24/PLTV/88888888/224/3221225672/index.m3u8
CCTV10,http://39.134.24.24/PLTV/88888888/224/3221225782/index.m3u8
CCTV11,http://39.134.24.24/PLTV/88888888/224/3221225825/index.m3u8
CCTV11,http://39.134.24.24/PLTV/88888888/224/3221225774/index.m3u8
CCTV13,http://39.134.24.24/PLTV/88888888/224/3221225612/index.m3u8
CCTV13,http://183.207.248.71:80/cntv/live1/cctv-13/cctv-13
CCTV13,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8
CCTV13,http://39.134.24.24/PLTV/88888888/224/3221225650/index.m3u8
CCTV14,http://39.134.24.24/PLTV/88888888/224/3221225658/index.m3u8


地方卫视高清,#genre#
安徽卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv
安徽卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227759/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.134.24.24/PLTV/88888888/224/3221225847/index.m3u8
北京纪实,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-beijingjishi/HD-8000k-1080P-beijingjishi
北京卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-beijingstv/HD-2500k-1080P-beijingstv
北京卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227694/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225724/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225833/index.m3u8
北京卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/index.m3u8
东方卫视,http://183.207.248.71:80/cntv/live1/n-dongfangstv/n-dongfangstv
东方卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227688/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225676/index.m3u8
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225835/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
东方卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226895/index.m3u8
东方卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227040/index.m3u8
东南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
东南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
